Distance_m,Force_N
0.01000000,0.95962148
0.01010000,0.93990552
0.01020000,0.92048573
0.01030000,0.90136979
0.01040000,0.88256413
0.01050000,0.86407398
0.01060000,0.84590347
0.01070000,0.82805571
0.01080000,0.81053288
0.01090000,0.79333630
0.01100000,0.77646652
0.01110000,0.75992336
0.01120000,0.74370602
0.01130000,0.72781310
0.01140000,0.71224268
0.01150000,0.69699237
0.01160000,0.68205937
0.01170000,0.66744048
0.01180000,0.65313221
0.01190000,0.63913076
0.01200000,0.62543209
0.01210000,0.61203192
0.01220000,0.59892581
0.01230000,0.58610915
0.01240000,0.57357721
0.01250000,0.56132514
0.01260000,0.54934800
0.01270000,0.53764080
0.01280000,0.52619850
0.01290000,0.51501602
0.01300000,0.50408827
0.01310000,0.49341014
0.01320000,0.48297654
0.01330000,0.47278240
0.01340000,0.46282268
0.01350000,0.45309236
0.01360000,0.44358647
0.01370000,0.43430009
0.01380000,0.42522836
0.01390000,0.41636648
0.01400000,0.40770970
0.01410000,0.39925335
0.01420000,0.39099284
0.01430000,0.38292362
0.01440000,0.37504126
0.01450000,0.36734137
0.01460000,0.35981966
0.01470000,0.35247191
0.01480000,0.34529400
0.01490000,0.33828187
0.01500000,0.33143155
0.01510000,0.32473914
0.01520000,0.31820085
0.01530000,0.31181295
0.01540000,0.30557180
0.01550000,0.29947382
0.01560000,0.29351554
0.01570000,0.28769355
0.01580000,0.28200452
0.01590000,0.27644521
0.01600000,0.27101243
0.01610000,0.26570310
0.01620000,0.26051417
0.01630000,0.25544271
0.01640000,0.25048583
0.01650000,0.24564071
0.01660000,0.24090461
0.01670000,0.23627486
0.01680000,0.23174885
0.01690000,0.22732402
0.01700000,0.22299791
0.01710000,0.21876808
0.01720000,0.21463218
0.01730000,0.21058791
0.01740000,0.20663303
0.01750000,0.20276534
0.01760000,0.19898273
0.01770000,0.19528311
0.01780000,0.19166446
0.01790000,0.18812481
0.01800000,0.18466224
0.01810000,0.18127488
0.01820000,0.17796089
0.01830000,0.17471851
0.01840000,0.17154601
0.01850000,0.16844168
0.01860000,0.16540390
0.01870000,0.16243106
0.01880000,0.15952159
0.01890000,0.15667399
0.01900000,0.15388675
0.01910000,0.15115845
0.01920000,0.14848768
0.01930000,0.14587306
0.01940000,0.14331326
0.01950000,0.14080698
0.01960000,0.13835295
0.01970000,0.13594994
0.01980000,0.13359674
0.01990000,0.13129218
0.02000000,0.12903512
0.02010000,0.12682445
0.02020000,0.12465908
0.02030000,0.12253795
0.02040000,0.12046004
0.02050000,0.11842433
0.02060000,0.11642986
0.02070000,0.11447566
0.02080000,0.11256081
0.02090000,0.11068440
0.02100000,0.10884555
0.02110000,0.10704340
0.02120000,0.10527711
0.02130000,0.10354586
0.02140000,0.10184885
0.02150000,0.10018531
0.02160000,0.09855449
0.02170000,0.09695563
0.02180000,0.09538802
0.02190000,0.09385096
0.02200000,0.09234376
0.02210000,0.09086576
0.02220000,0.08941630
0.02230000,0.08799475
0.02240000,0.08660049
0.02250000,0.08523292
0.02260000,0.08389144
0.02270000,0.08257549
0.02280000,0.08128449
0.02290000,0.08001791
0.02300000,0.07877521
0.02310000,0.07755586
0.02320000,0.07635937
0.02330000,0.07518524
0.02340000,0.07403298
0.02350000,0.07290211
0.02360000,0.07179219
0.02370000,0.07070276
0.02380000,0.06963338
0.02390000,0.06858363
0.02400000,0.06755308
0.02410000,0.06654133
0.02420000,0.06554799
0.02430000,0.06457265
0.02440000,0.06361495
0.02450000,0.06267450
0.02460000,0.06175096
0.02470000,0.06084397
0.02480000,0.05995317
0.02490000,0.05907825
0.02500000,0.05821886
0.02510000,0.05737468
0.02520000,0.05654541
0.02530000,0.05573073
0.02540000,0.05493035
0.02550000,0.05414397
0.02560000,0.05337130
0.02570000,0.05261208
0.02580000,0.05186602
0.02590000,0.05113286
0.02600000,0.05041235
0.02610000,0.04970421
0.02620000,0.04900821
0.02630000,0.04832411
0.02640000,0.04765166
0.02650000,0.04699064
0.02660000,0.04634081
0.02670000,0.04570195
0.02680000,0.04507386
0.02690000,0.04445631
0.02700000,0.04384910
0.02710000,0.04325203
0.02720000,0.04266489
0.02730000,0.04208750
0.02740000,0.04151967
0.02750000,0.04096120
0.02760000,0.04041193
0.02770000,0.03987167
0.02780000,0.03934024
0.02790000,0.03881749
0.02800000,0.03830323
0.02810000,0.03779732
0.02820000,0.03729959
0.02830000,0.03680989
0.02840000,0.03632806
0.02850000,0.03585396
0.02860000,0.03538745
0.02870000,0.03492837
0.02880000,0.03447658
